[7l----total-cpu-usage---- -dsk/total- ------memory-usage----- -net/total- --io/total- ------sockets------ ----tcp-sockets----
usr sys idl wai hiq siq| read  writ| used  buff  cach  free| recv  send| read  writ|tot tcp udp raw frg|lis act syn tim clo
 12   3  85   0   0   1|  24k  128k|5176M  389M 57.0G  541M|1538k 6259k|2.00  6.00 |369 162  20   0   0| 20 137   2   1 185
 12   2  85   0   0   1|   0     0 |5176M  389M 57.0G  541M|1443k 6254k|   0     0 |369 162  20   0   0| 20 138   2   1 179
 14   3  82   0   0   1|   0   116k|5177M  389M 57.0G  540M|1260k 5869k|   0  9.00 |389 182  20   0   0| 20 153   8   1 178
 23   4  73   0   0   1|   0   140k|5177M  389M 57.0G  540M|1653k 7479k|   0  13.0 |408 200  20   0   0| 20 168   2   1 166
 16   3  81   0   0   1|   0    12k|5178M  389M 57.0G  539M|1439k 6521k|   0  2.00 |423 217  20   0   0| 20 186   5   1 164
 16   3  80   0   0   1|   0     0 |5178M  389M 57.0G  539M|1638k 7292k|   0     0 |419 212  20   0   0| 20 181   2   1 165
 14   2  83   0   0   1|   0    60k|5179M  389M 57.0G  538M|1494k 5685k|   0  4.00 |425 217  20   0   0| 20 187   8   1 159
 11   2  86   0   0   1|   0   156k|5177M  389M 57.0G  539M|1231k 4838k|   0  3.00 |426 218  20   0   0| 20 188   1   1 151
 13   3  79   5   0   1|   0    84M|5177M  389M 57.0G  538M|1403k 5743k|   0  2554 |424 216  20   0   0| 20 187   2   1 150
 16   3  80   0   0   1|   0     0 |5178M  389M 57.0G  538M|1757k 7038k|   0     0 |425 217  20   0   0| 20 185   1   1 154
 18   3  78   0   0   1|   0   116k|5178M  389M 57.0G  539M|1494k 5671k|   0  18.0 |411 203  20   0   0| 20 157   1   1 182
 24   3  72   0   0   1|   0   196k|5178M  389M 57.0G  538M|1231k 5471k|   0  11.0 |433 224  20   0   0| 20 180   3   1 181
 23   2  73   0   0   2|   0   124k|5176M  389M 57.0G  541M|1844k 8990k|   0  17.0 |433 226  20   0   0| 20 178   3   1 186
 15   2  82   0   0   1|4096B  164k|5176M  389M 57.0G  541M|1684k 7547k|1.00  20.0 |436 227  20   0   0| 20 181   1   1 185
 19   3  77   0   0   1|   0   548k|5178M  389M 57.0G  538M|1350k 5830k|   0  16.0 |429 221  20   0   0| 20 176   1   1 185
 10   2  88   0   0   0|   0     0 |5178M  389M 57.0G  539M|1218k 5047k|   0     0 |418 210  20   0   0| 20 166   1   1 198
 20   3  76   0   0   1|   0     0 |5178M  389M 57.0G  538M|1513k 4980k|   0     0 |408 200  20   0   0| 20 164   1   1 198
 30   4  65   0   0   1|   0    60k|5179M  389M 57.0G  538M|1616k 7444k|   0  4.00 |435 224  20   0   0| 20 182   1   1 205
 26   4  70   0   0   1|   0    24k|5183M  389M 57.0G  533M|1469k 5740k|   0  5.00 |434 224  20   0   0| 20 183   1   1 184
 14   3  83   0   0   1|   0    60k|5168M  389M 57.0G  548M|1490k 5618k|   0  2.00 |429 221  20   0   0| 20 180   1   1 183
 14   2  83   0   0   1|   0     0 |5176M  389M 57.0G  541M|1302k 5406k|   0     0 |436 227  20   0   0| 20 184   1   1 180
 11   2  87   0   0   1|   0     0 |5175M  389M 57.0G  541M|1498k 5430k|   0     0 |427 220  20   0   0| 20 181   6   1 176
 10   2  87   0   0   1|   0     0 |5177M  389M 57.0G  539M|1401k 4833k|   0     0 |429 221  20   0   0| 20 180   1   1 181
 12   1  86   0   0   1|   0    12k|5177M  389M 57.0G  539M|1241k 4741k|   0  3.00 |422 214  20   0   0| 20 180   1   1 181
  8   2  89   0   0   1|   0   104k|5178M  389M 57.0G  537M|1047k 4678k|   0  2.00 |418 210  20   0   0| 20 179   1   1 181
 11   2  87   0   0   1|   0    16k|5177M  389M 57.0G  539M|1337k 4624k|   0  4.00 |415 207  20   0   0| 20 175   1   1 184
